what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276423589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276424597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276931227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276933288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276945083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276948396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276961928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276966044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276975321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276976354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276988303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356276989117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356277288617
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1356277290153
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1356277293979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356277294091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356277356382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356277357925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356277595231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356277598083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356277599795
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356277599986
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1356277601028
stopped,bundle,com.ibm.team.build.java.ui,3.0.2.v20110831_0247,"com.ibm.team.build.java.ui",1356277601029
stopped,bundle,com.ibm.team.filesystem.ide.java.ui,3.0.2.v20110831_0247,"com.ibm.team.filesystem.ide.java.ui",1356277601029
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1356277601031
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1356277601032
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1356277601034
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1356277601034
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1356277601036
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1356277601037
stopped,bundle,com.ibm.team.workitem.java.ide.ui,3.0.2.v20110831_0247,"com.ibm.team.workitem.java.ide.ui",1356277601037
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1356277601037
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1356277601038
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1356277601038
stopped,bundle,com.ibm.team.collaboration.java.ide.ui,3.0.2.v20110831_0247,"com.ibm.team.collaboration.java.ide.ui",1356277601038
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1356277601044
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1356277601045
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1356277601046
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1356277601047
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1356277601048
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1356277601049
stopped,bundle,com.ibm.rational.connector.buildforge.ui,3.0.4.v20120702_1528,"com.ibm.rational.connector.buildforge.ui",1356277601050
